,labels,structure,hemisphere,rsn,x,y,z,nvoxels,tSNR
174,7Networks_LH_SalVentAttn_FrOperIns_4,cortex,L,SalVentAttn,-40.263612,-13.071184,-3.721863,1866,19.37100249
175,7Networks_LH_SalVentAttn_FrOperIns_5,cortex,L,SalVentAttn,-33.300087,19.481623,7.625419,1993,25.24579582
176,7Networks_LH_SalVentAttn_FrOperIns_6,cortex,L,SalVentAttn,-36.073106,5.371878,9.667188,1122,24.49996266
177,7Networks_LH_SalVentAttn_FrOperIns_7,cortex,L,SalVentAttn,-44.468203,13.464984,3.538973,1289,23.24602099
178,7Networks_LH_SalVentAttn_FrOperIns_8,cortex,L,SalVentAttn,-49.787899,-0.435574,6.566235,2155,21.52913394
179,7Networks_LH_SalVentAttn_FrOperIns_9,cortex,L,SalVentAttn,-50.970696,10.650218,12.421912,2617,24.59576113
180,7Networks_LH_SalVentAttn_PFCl_1,cortex,L,SalVentAttn,-29.715194,42.2218,26.510024,5177,30.49899255
181,7Networks_LH_SalVentAttn_Med_1,cortex,L,SalVentAttn,-6.775557,18.567366,33.212596,3120,20.88532358
182,7Networks_LH_SalVentAttn_Med_2,cortex,L,SalVentAttn,-6.784565,-1.637089,41.731652,3040,19.53806373
183,7Networks_LH_SalVentAttn_Med_3,cortex,L,SalVentAttn,-11.157254,-27.011896,40.935696,2278,20.94177863
184,7Networks_LH_SalVentAttn_Med_4,cortex,L,SalVentAttn,-6.461125,6.514522,49.10302,3132,20.81720771
185,7Networks_LH_SalVentAttn_Med_5,cortex,L,SalVentAttn,-11.30089,-40.898094,47.435825,1361,25.01781257
186,7Networks_LH_SalVentAttn_Med_6,cortex,L,SalVentAttn,-7.938117,-49.333798,57.873906,2074,27.59134219
187,7Networks_LH_SalVentAttn_Med_7,cortex,L,SalVentAttn,-9.822176,-5.346341,68.256606,1638,28.81201579
188,7Networks_LH_Limbic_OFC_1,cortex,L,Limbic,-11.894779,22.379735,-20.505017,2446,5.401503876
189,7Networks_LH_Limbic_OFC_2,cortex,L,Limbic,-21.992458,22.474931,-18.877922,4203,10.81773439
190,7Networks_LH_Limbic_OFC_3,cortex,L,Limbic,-10.365665,46.240629,-21.137265,4903,9.344361101
191,7Networks_LH_Limbic_OFC_4,cortex,L,Limbic,-4.298053,17.818918,-18.037576,3084,6.644348781
192,7Networks_LH_Limbic_OFC_5,cortex,L,Limbic,-16.369824,62.094822,-5.889255,3691,16.09182559
193,7Networks_LH_Limbic_TempPole_1,cortex,L,Limbic,-37.665729,-4.622361,-40.599989,4998,8.406341943
