roi_list1,roi_list2,index_list2,region,side,networks,x,y,z,volume,braak,rbd_relevant,motor,arousal
7Networks_LH_Vis_21,7Networks_LH_Vis_21,204,cortex,L,Vis,-9.126291,-75.735344,8.646087,3735,,,,
7Networks_LH_Vis_22,7Networks_LH_Vis_22,205,cortex,L,Vis,-20.004818,-63.250265,5.852453,1941,,,,
7Networks_LH_Vis_23,7Networks_LH_Vis_23,206,cortex,L,Vis,-36.768975,-83.045641,13.313146,4515,,,,
7Networks_LH_Vis_24,7Networks_LH_Vis_24,207,cortex,L,Vis,-12.525352,-95.497111,14.822498,4743,,,,
7Networks_LH_Vis_25,7Networks_LH_Vis_25,208,cortex,L,Vis,-4.274363,-85.442835,22.153901,3649,,,,
7Networks_LH_Vis_26,7Networks_LH_Vis_26,209,cortex,L,Vis,-12.580034,-71.410825,20.09914,2251,,,,
7Networks_LH_Vis_27,7Networks_LH_Vis_27,210,cortex,L,Vis,-25.336282,-83.770287,20.380733,2783,,,,
7Networks_LH_Vis_28,7Networks_LH_Vis_28,211,cortex,L,Vis,-31.344332,-81.438531,26.316375,1842,,,,
7Networks_LH_Vis_29,7Networks_LH_Vis_29,212,cortex,L,Vis,-15.069563,-86.040497,31.758002,2650,,,,
7Networks_LH_Vis_30,7Networks_LH_Vis_30,213,cortex,L,Vis,-13.475419,-77.104711,34.527662,2025,,,,
7Networks_LH_Vis_31,7Networks_LH_Vis_31,214,cortex,L,Vis,-19.427948,-74.032745,43.113854,2043,,,,
7Networks_LH_SomMot_1,7Networks_LH_SomMot_1,215,cortex,L,SomMot,-48.797519,-11.986358,1.151272,3125,,,,
7Networks_LH_SomMot_2,7Networks_LH_SomMot_2,216,cortex,L,SomMot,-53.649095,-23.34232,7.450086,3982,,,,
7Networks_LH_SomMot_3,7Networks_LH_SomMot_3,217,cortex,L,SomMot,-36.153648,-22.771245,8.026276,1214,,,,
7Networks_LH_SomMot_4,7Networks_LH_SomMot_4,218,cortex,L,SomMot,-38.197926,-7.777169,12.736891,1985,,,,
7Networks_LH_SomMot_5,7Networks_LH_SomMot_5,219,cortex,L,SomMot,-35.563359,-25.889136,17.905696,1435,,,,
7Networks_LH_SomMot_6,7Networks_LH_SomMot_6,220,cortex,L,SomMot,-55.047037,-38.415071,16.496972,2358,,,,
7Networks_LH_SomMot_7,7Networks_LH_SomMot_7,221,cortex,L,SomMot,-41.214449,-34.555542,15.010108,1621,,,,
7Networks_LH_SomMot_8,7Networks_LH_SomMot_8,222,cortex,L,SomMot,-46.867364,-15.316317,16.414384,1906,,,,
7Networks_LH_SomMot_9,7Networks_LH_SomMot_9,223,cortex,L,SomMot,-58.262778,-4.604571,12.466652,1804,,,,
7Networks_LH_SomMot_10,7Networks_LH_SomMot_10,224,cortex,L,SomMot,-47.680643,-25.245772,18.876233,1631,,,,
7Networks_LH_SomMot_11,7Networks_LH_SomMot_11,225,cortex,L,SomMot,-57.645332,-19.474327,20.590543,1600,,,,
7Networks_LH_SomMot_12,7Networks_LH_SomMot_12,226,cortex,L,SomMot,-56.950821,-4.530404,23.066305,2246,,,,
7Networks_LH_SomMot_13,7Networks_LH_SomMot_13,227,cortex,L,SomMot,-60.529895,-12.095838,29.924991,1640,,,,
7Networks_LH_SomMot_14,7Networks_LH_SomMot_14,228,cortex,L,SomMot,-50.609014,-10.377459,28.875415,1458,,,,
